"Copyright © 2017 BRTDATA.ORG - Downloaded on 2017/11/05";"";"";"";"";""
"";"";"";"";"";""
"Worldwide - Key Indicators per Region";"";"";"";"";""
"Regions";"Passengers per Day";"Number of Cities";"Length (km)";"";""
"Corridor length (km)";"Running ways";"22,00";"2015";"http://www.lamata-ng.com/brt.php";""
"Length of segregated lanes, corridor (km)";"Running ways";"14,30";"2015";"http://www.lamata-ng.com/brt.php";""
"Length of segregated counterflow lanes, corridor (km)";"Running ways";"";"";"";""
"Length of exclusive lanes, corridor (km)";"Running ways";"";"";"";""
"Mixed traffic with-flow length, corridor (km)";"Running ways";"";"";"";""
"Position of with-flow lanes, corridor";"Running ways";"";"";"";""
"Position of counterflow lanes, corridor";"Running ways";"";"";"";""
"Position of bus doors, corridor";"Running ways";"Right";"2015";"http://www.lamata-ng.com/brt.php";""
"Lane material on running ways, corridor";"Running ways";"";"";"";""
"Lane material at stations, corridor";"Running ways";"";"";"";""
"Grade-separated intersections, corridor";"Traffic engineering";"";"";"";""
"Fixed signal priority";"Traffic engineering";"";"";"";""
"Dynamic signal priority";"Traffic engineering";"";"";"";""
"Stations, corridor";"Stations";"28";"2015";"http://www.lamata-ng.com/brt.php";""
"Station spacing, corridor (m)";"Stations";"800,0";"2015";"Calculated using system length and stations";""
"Enhanced stations";"Stations";"Yes";"2015";"http://www.lamata-ng.com/brt.php";""
"Pre-board fare collection, corridor";"Stations";"";"";"";""
"Overtaking lanes, corridor";"Stations";"";"";"";""
"Station boarding level, corridor";"Stations";"";"";"";""
"Type of bus guidance";"ITS";"";"";"";""
"Peak frequency, corridor (buses per hour per direction)";"Travel time";"";"";"";""
"Operating speed, corridor";"Travel time";"30,0";"2015";"http://www.lamata-ng.com/brt.php";""
"Express services";"Travel time";"";"";"";""
"Speed limit (km/h)";"Travel time";"";"";"";""
"Real time information, corridor";"Comfort";"";"";"";""
"Physically integrated feeders";"Comfort";"";"";"";""
"Total cost per kilometer, corridor (US$ million per km)";"Cost";"1,700";"2010";"Viva 2010 ( http://www.uncrd.or.jp/env/5th-regional-est-forum/doc/08_Breakout%20Session2-B/BS2-B-6_BRT%20Trends.pdf ); Trans-Africa Consortium 2010 ; http://www.itdp.org/documents/st_magazine/ITDP-ST_Magazine-%20V%2020.pdf";""
"Planning cost, corridor (US$ million)";"Cost";"";"";"";""
"Infrastructure cost per kilometer, corridor (US$ million per km)";"Cost";"1,700";"2010";"Viva 2010 ( http://www.uncrd.or.jp/env/5th-regional-est-forum/doc/08_Breakout%20Session2-B/BS2-B-6_BRT%20Trends.pdf ); Trans-Africa Consortium 2010 ; http://www.itdp.org/documents/st_magazine/ITDP-ST_Magazine-%20V%2020.pdf";""
"User rating, corridor";"Quality of service";"";"";"";""
"Corridor annual fatalities";"Road Safety";"";"";"";""
"";"";"";"";"";""
"South Africa - Key Indicators per City";"";"";"";"";""
"Cities";"Passengers per Day";"Number of Corridors";"Length km";"";""
"";"";"";"";"";""
"Cape Town";"66,178";"2";"31 km";"";" "
"Johannesburg";"42,000";"2";"44 km";"";" "
"";"";"";"";"";""
"Cape Town - System Indicators";"";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source";""
"GDP per capita (US$)";"General info";"5,692";"2015";"http://databank.worldbank.org/data/reports.aspx?source=2&series=NY.GDP.PCAP.CD&country=";""
"Population, city";"General info";"3,740,026";"2011";"http://www.capetown.gov.za/en/stats/Documents/2011%20Census/2011_Census_Cape_Town_Profile.pdf";""
"Population, metro area";"General info";"3,740,026";"2011";"http://beta2.statssa.gov.za/?page_id=1021&id=city-of-cape-town-municipality";""
"Population density, metropolitan area";"General info";"1,530";"2011";"http://beta2.statssa.gov.za/?page_id=1021&id=city-of-cape-town-municipality";""
"Modal split % public transport";"General info";"44";"2014";"http://www.statssa.gov.za/publications/Report-03-20-02/Report-03-20-022014.pdf";""
"Modal split % private transport";"General info";"47";"2014";"http://www.statssa.gov.za/publications/Report-03-20-02/Report-03-20-022014.pdf";""
"Modal split % non motorized";"General info";"9";"2014";"http://www.statssa.gov.za/publications/Report-03-20-02/Report-03-20-022014.pdf";""
"System name";"System info";"MyCiti";"2015";"https://myciti.org.za/en/home/";""
"Corridors";"System info";"2";"2007";"http://www.capetown.gov.za/en/irt/Pages/default.aspx";""
"Year system commenced";"System info";"2011";"";"http://www.capetown.gov.za/en/irt/Pages/default.aspx";""
"Transit agency";"System info";"";"";"";""
"Standard fare (US$)";"System info";"1,79";"2017 ,  corresponding to the longest corridor during peak ";"http://myciti.org.za/en/myconnect-fares/about-fares/";""
"Annual fare revenue (US$ millions)";"System info";"24,97";"";"Calculated using annual demand and fare";""
"Fare integration within the system";"System info";"Yes";"2015";"MyCiti";""
"Citywide fare integration (other modes)";"System info";"";"";"";""
"Integration terminals";"System info";"2";"2014";"http://www.irfnews.org/ebooks/IRF-Examiner-14Vol3.pdf";""
"Transfer stations";"System info";"";"";"";""
"Peak load (passengers per hour per direction)";"System info";"";"";"";""
"Daily demand (passengers per day)";"System info";"66,178";"2017";"MyCity 2017 Operations Report";""
"Annual demand (passengers per year)";"System info";"19,927,355";"2017";"MyCity 2017 Operations Report";""
"Capital productivity (boardings per bus per day)";"System info";"";"";"";""
"Operational productivity (IPK)";"System info";"";"";"";""
"Operations control center";"System info";"";"";"";""
"Trunk lines";"System info";"4";"2017";"http://myciti.org.za/en/routes/interactive-routes/";""
"Feeder routes";"System info";"26";"2015";"http://myciti.org.za/en/routes/interactive-routes/";""
"Depots";"System info";"";"";"";""
"System length (km)";"Additional Information";"30,82";"2017";"http://myciti.org.za/en/routes/interactive-routes/";""
"Position of with-flow lanes";"Additional Information";"";"";"";""
"Position of counterflow lanes";"Additional Information";"";"";"";""
"Position of bus doors";"Additional Information";"Left & Right";"2011";"MyCiti";""
"Lane material on running ways";"Additional Information";"";"";"";""
"Lane material at stations";"Additional Information";"";"";"";""
"Stations";"Additional Information";"30";"2017";"http://myciti.org.za/en/stations-stops/station-stop-listing/";""
"Station spacing (m)";"Additional Information";"1027,3";"";"Calculated using system length and stations";""
"Pre-board fare collection";"Additional Information";"All";"2014";"https://www.itdp.org/wp-content/uploads/2014/07/BRT-Standard-20141.pdf";""
"Overtaking lanes";"Additional Information";"";"";"";""
"Station boarding level";"Additional Information";"High-level platform";"2017";"https://myciti.org.za/en/stations-stops/about-stations-stops/";""
"Real time information";"Additional Information";"All";"2015";"MyCiti";""
"Peak frequency (buses per hour)";"Additional Information";"6";"2015";"http://myciti.org.za/en/timetables/route-stop-timetables/?timetable%5Bweekday%5D=friday&timetable%5Broute_id%5D=1003&timetable%5Bdirection%5D=0";""
"Operating speed";"Additional Information";"";"";"";""
"Total fleet";"System fleet";"310";"2010";"http://www.capetown.gov.za/en/irt/Pages/default.aspx";""
"Fleet, standard buses";"System fleet";"";"";"";""
"Average age, standard buses";"System fleet";"";"";"";""
"Propulsion, standard buses";"System fleet";"";"";"";""
"Fuel type, standard buses";"System fleet";"";"";"";""
"Fuel economy, standard buses";"System fleet";"";"";"";""
"Fleet, articulated buses";"System fleet";"";"";"";""
"Average age, articulated buses";"System fleet";"";"";"";""
"Propulsion, articulated buses";"System fleet";"";"";"";""
"Fuel type, articulated buses";"System fleet";"Diesel";"2015";"http://myciti.org.za/en/passenger-information/why-use-myciti/environmental-impact/";""
"Fuel economy, articulated buses";"System fleet";"";"";"";""
"Fleet, bi-articulated buses";"System fleet";"0";"";"";""
"Average age, bi-articulated buses";"System fleet";"N/A";"";"";""
"Propulsion, bi-articulated buses";"System fleet";"N/A";"";"";""
"Fuel type, bi-articulated buses";"System fleet";"N/A";"";"";""
"Fuel economy, bi-articulated buses";"System fleet";"N/A";"";"";""
"Fleet, double-decker buses";"System fleet";"0";"";"";""
"Average age, double-decker buses";"System fleet";"N/A";"";"";""
"Propulsion, double-decker buses";"System fleet";"N/A";"";"";""
"Fuel type, double-decker buses";"System fleet";"N/A";"";"";""
"Fuel economy, double-decker buses";"System fleet";"N/A";"";"";""
"Typical fuel type";"System fleet";"Diesel";"2015";"http://myciti.org.za/en/passenger-information/why-use-myciti/environmental-impact/";""
"City's diesel sulfur content (ppm)";"System fleet";"";"";"";""
